id,usual_word_dev,usual_word_roman,transformed_word_dev,transformed_word_roman,english_meaning,everyday_sentence_dev,everyday_sentence_roman,improved_sentence_1_dev,improved_sentence_1_roman,improved_sentence_2_dev,improved_sentence_2_roman,synonyms_dev,synonyms_roman,usage_note,challenge_prompt,tags,difficulty
80,अपडेट,update,सूचना,soochna,information or notice,कोई update मिले तो मुझे message कर देना।,Koi update mile toh mujhe message kar dena.,कोई नई सूचना मिले तो मुझे संदेश भेज दीजिए।,Koi nayi soochna mile toh mujhe sandesh bhej dijiye.,"जैसे ही कोई नई सूचना प्राप्त हो, कृपया मुझे तत्काल अवगत करा दें।","Jaise hi koi nayi soochna praapt ho, kripya mujhe tatkaal avagat kara dein.",जानकारी | समाचार | संदेश,jaankari | samaachaar | sandesh,"Soochna works well for notices, updates, and factual information.",Nayi soochna dene ke liye ek vaakya banaiye.,updates | information | professional,easy
81,सेफ़्टी,safety,सुरक्षा,suraksha,safety or protection,Safety के लिए helmet ज़रूर पहनना।,Safety ke liye helmet zaroor pehenna.,सुरक्षा के लिए helmet अवश्य पहनिए।,Suraksha ke liye helmet avashya pehniye.,अपनी सुरक्षा सुनिश्चित करने के लिए वाहन चलाते समय helmet अवश्य धारण करें।,Apni suraksha sunishchit karne ke liye vaahan chalaate samay helmet avashya dhaaran karein.,रक्षा | संरक्षण | हिफ़ाज़त,raksha | sanrakshan | hifaazat,Suraksha is direct and familiar in practical everyday advice.,Suraksha se judi ek upyogi salah dijiye.,safety | advice | daily speech,easy
82,कन्वीनियंस,convenience,सुविधा,suvidha,convenience or facility,तुम्हारी convenience के लिए मैं time बदल देता हूँ।,Tumhari convenience ke liye main time badal deta hoon.,आपकी सुविधा के लिए मैं समय बदल देता हूँ।,Aapki suvidha ke liye main samay badal deta hoon.,आपकी सुविधा को ध्यान में रखते हुए मैं बैठक का समय परिवर्तित कर देता हूँ।,Aapki suvidha ko dhyaan mein rakhte hue main baithak ka samay parivartit kar deta hoon.,आसानी | सहूलियत | व्यवस्था,aasaani | sahooliyat | vyavastha,Suvidha politely centers another person's convenience.,Kisi ki suvidha ka dhyaan rakhte hue ek vaakya kahiye.,courtesy | planning | conversation,easy
83,केयरफुल,careful,सावधानी,savdhaani,caution or carefulness,"Road गीली है, ज़रा careful रहना।","Road geeli hai, zara careful rehna.","सड़क गीली है, ज़रा सावधानी रखिए।","Sadak geeli hai, zara savdhaani rakhiye.",वर्षा के कारण सड़क फिसलन भरी है; कृपया वाहन चलाते समय विशेष सावधानी बरतें।,Varsha ke kaaran sadak phislan bhari hai; kripya vaahan chalaate samay vishesh savdhaani bartein.,सतर्कता | सजगता | एहतियात,satarkata | sajagta | ehtiyaat,"Savdhaani turns a casual warning into clear, caring advice.",Savdhaani ki salah dete hue ek vaakya banaiye.,safety | warning | care,easy
84,सेंसिटिव,sensitive,संवेदनशील,samvedansheel,sensitive or delicate,"यह topic sensitive है, आराम से बात करना।","Yeh topic sensitive hai, aaraam se baat karna.","यह विषय संवेदनशील है, शांति से बात कीजिए।","Yeh vishay samvedansheel hai, shaanti se baat kijiye.",यह अत्यंत संवेदनशील विषय है; कृपया शब्दों का चयन सोच-समझकर करें।,Yeh atyant samvedansheel vishay hai; kripya shabdon ka chayan soch-samajhkar karein.,भावुक | नाज़ुक | कोमल,bhaavuk | naazuk | komal,Samvedansheel signals that a subject needs care and empathy.,Samvedansheel vishay par sambhal kar bolne ka vaakya banaiye.,empathy | tone | communication,medium
85,ऑनेस्टी,honesty,ईमानदारी,imaandari,honesty or integrity,सच बोलूँ तो तुम्हारी honesty मुझे पसंद है।,Sach bolun toh tumhari honesty mujhe pasand hai.,सच कहूँ तो आपकी ईमानदारी मुझे पसंद है।,Sach kahoon toh aapki imaandari mujhe pasand hai.,मैं आपकी ईमानदारी और स्पष्टवादिता का हृदय से सम्मान करता हूँ।,Main aapki imaandari aur spashtavaadita ka hriday se samman karta hoon.,सच्चाई | निष्ठा | सत्यनिष्ठा,sachchai | nishtha | satyanishtha,"Imaandari is warm, direct, and natural when appreciating integrity.",Imaandari ki prashansa karte hue ek vaakya kahiye.,values | appreciation | relationships,easy
86,एक्सेप्ट,accept,स्वीकार,sweekar,to accept or acknowledge,"ठीक है, मैं अपनी ग़लती accept करता हूँ।","Theek hai, main apni galti accept karta hoon.","ठीक है, मैं अपनी ग़लती स्वीकार करता हूँ।","Theek hai, main apni galti sweekar karta hoon.",मैं बिना किसी संकोच के अपनी त्रुटि स्वीकार करता हूँ और उसे सुधारने का प्रयास करूँगा।,Main bina kisi sankoch ke apni truti sweekar karta hoon aur use sudhaarne ka prayas karunga.,मान लेना | अंगीकार | स्वीकृति,maan lena | angeekar | sweekriti,Sweekar expresses acceptance or accountability with composure.,Apni galti sweekar karte hue ek vaakya banaiye.,accountability | values | conversation,easy
87,रिजेक्ट,reject,अस्वीकार,asweekar,to reject or decline,"Sorry, मुझे यह offer reject करना पड़ेगा।","Sorry, mujhe yeh offer reject karna padega.","क्षमा कीजिए, मुझे यह प्रस्ताव अस्वीकार करना पड़ेगा।","Kshama kijiye, mujhe yeh prastaav asweekar karna padega.","आपके प्रस्ताव के लिए आभार, किंतु वर्तमान परिस्थितियों में मुझे इसे विनम्रता से अस्वीकार करना पड़ेगा।","Aapke prastaav ke liye aabhar, kintu vartamaan paristhitiyon mein mujhe ise vinamrata se asweekar karna padega.",मना करना | ठुकराना | नामंज़ूर,mana karna | thukrana | naamanzur,Asweekar helps decline something firmly while remaining courteous.,Kisi prastaav ko vinamrata se asweekar karne ka vaakya banaiye.,declining | tact | professional,medium
88,प्रेज़,praise,प्रशंसा,prashansa,praise or appreciation,Boss ने आज मेरी काफ़ी praise की।,Boss ne aaj meri kaafi praise ki.,वरिष्ठ ने आज मेरी काफ़ी प्रशंसा की।,Varishth ne aaj meri kaafi prashansa ki.,"वरिष्ठ अधिकारी ने आज मेरे कार्य की खुलकर प्रशंसा की, जिससे मेरा उत्साह बढ़ा।","Varishth adhikari ne aaj mere karya ki khulkar prashansa ki, jisse mera utsaah badha.",सराहना | तारीफ़ | अभिनंदन,sarahana | tareef | abhinandan,Prashansa is a polished but familiar way to speak about praise.,Kisi ke karya ki prashansa karte hue ek vaakya kahiye.,praise | work | positive,easy
89,थैंक्स,thanks,आभार,aabhar,gratitude or thanks,"इतनी help के लिए thanks, सच में।","Itni help ke liye thanks, sach mein.","इतनी सहायता के लिए आभार, सच में।","Itni sahayata ke liye aabhar, sach mein.",कठिन समय में दिए गए आपके सहयोग के लिए मैं हृदय से आभार व्यक्त करता हूँ।,Kathin samay mein diye gaye aapke sahyog ke liye main hriday se aabhar vyakt karta hoon.,धन्यवाद | कृतज्ञता | शुक्रिया,dhanyavaad | kritagyata | shukriya,Aabhar expresses thanks with warmth and a little more depth.,Aabhar vyakt karte hue ek sachcha vaakya kahiye.,gratitude | appreciation | relationships,easy
90,सॉरी,sorry,क्षमा,kshama,forgiveness or apology,"Sorry, मैं तुम्हारा call नहीं उठा पाया।","Sorry, main tumhara call nahi utha paaya.","क्षमा कीजिए, मैं आपका phone नहीं उठा पाया।","Kshama kijiye, main aapka phone nahi utha paaya.",आपका phone न उठा पाने के लिए क्षमा चाहता हूँ; उस समय मैं बैठक में था।,Aapka phone na utha paane ke liye kshama chahta hoon; us samay main baithak mein tha.,माफ़ी | क्षमायाचना | खेद,maafi | kshamayaachana | khed,Kshama keeps an apology respectful and sincere.,Kshama maangte hue galti ka kaaran bhi batayiye.,apology | courtesy | conversation,easy
91,क्यूरियोसिटी,curiosity,जिज्ञासा,jigyasa,curiosity or desire to know,"बस curiosity है, यह machine काम कैसे करती है?","Bas curiosity hai, yeh machine kaam kaise karti hai?","बस जिज्ञासा है, यह यंत्र काम कैसे करता है?","Bas jigyasa hai, yeh yantra kaam kaise karta hai?",मेरी जिज्ञासा है कि यह यंत्र किस सिद्धांत पर कार्य करता है; क्या आप समझा सकते हैं?,Meri jigyasa hai ki yeh yantra kis siddhaant par karya karta hai; kya aap samjha sakte hain?,उत्सुकता | कौतूहल | जानने की इच्छा,utsukta | kautuhal | jaanne ki ichchha,"Jigyasa gives curiosity a thoughtful, learning-oriented tone.",Jigyasa vyakt karte hue ek prashn poochhiye.,curiosity | learning | questions,medium
92,फ़ोकस,focus,एकाग्रता,ekagrata,concentration or focus,"Phone side में रखो, थोड़ा focus करो।","Phone side mein rakho, thoda focus karo.","Phone एक तरफ़ रखिए, थोड़ी एकाग्रता बनाइए।","Phone ek taraf rakhiye, thodi ekagrata banaiye.",कार्य को समय पर पूरा करने के लिए कुछ देर phone अलग रखकर पूरी एकाग्रता से काम कीजिए।,Karya ko samay par poora karne ke liye kuch der phone alag rakhkar poori ekagrata se kaam kijiye.,ध्यान | तल्लीनता | केंद्रण,dhyaan | tallinata | kendran,Ekagrata emphasizes sustained attention rather than momentary focus.,Ekagrata badhaane ki ek salah dijiye.,focus | productivity | advice,medium
93,मोटिवेशन,motivation,प्रेरणा,prerna,inspiration or motivation,तुम्हारी story से मुझे काफ़ी motivation मिला।,Tumhari story se mujhe kaafi motivation mila.,आपकी कहानी से मुझे काफ़ी प्रेरणा मिली।,Aapki kahani se mujhe kaafi prerna mili.,आपकी संघर्ष और सफलता की कहानी से मुझे अपने लक्ष्य के प्रति नई प्रेरणा मिली।,Aapki sangharsh aur safalta ki kahani se mujhe apne lakshya ke prati nayi prerna mili.,प्रेरक बल | प्रोत्साहन | उत्साह,prerak bal | protsaahan | utsaah,Prerna is natural for describing a meaningful source of motivation.,Apni kisi prerna ke baare mein ek vaakya kahiye.,motivation | stories | positive,easy
94,एक्साइटमेंट,excitement,उत्साह,utsah,enthusiasm or excitement,नई job को लेकर बहुत excitement है।,Nayi job ko lekar bahut excitement hai.,नई नौकरी को लेकर बहुत उत्साह है।,Nayi naukri ko lekar bahut utsah hai.,नई ज़िम्मेदारी और सीखने के अवसरों को लेकर मेरे मन में बहुत उत्साह है।,Nayi zimmedari aur seekhne ke avasaron ko lekar mere man mein bahut utsah hai.,जोश | उमंग | उल्लास,josh | umang | ullas,Utsah expresses positive energy without sounding overly casual.,Kisi naye avasar ke liye apna utsah dikhaiye.,enthusiasm | opportunity | positive,easy
95,वरी,worry,चिंता,chinta,worry or concern,Result को लेकर थोड़ी worry हो रही है।,Result ko lekar thodi worry ho rahi hai.,परिणाम को लेकर थोड़ी चिंता हो रही है।,Parinaam ko lekar thodi chinta ho rahi hai.,"परिणाम को लेकर कुछ चिंता अवश्य है, फिर भी मुझे अपने प्रयास पर विश्वास है।","Parinaam ko lekar kuch chinta avashya hai, phir bhi mujhe apne prayas par vishwas hai.",फ़िक्र | व्याकुलता | आशंका,fikr | vyakulata | aashanka,Chinta is a natural Hindi word for expressing concern calmly.,Chinta ke saath aasha bhi vyakt karte hue vaakya banaiye.,emotion | uncertainty | reflection,easy
96,रिलीफ़,relief,राहत,raahat,relief or respite,"Report normal आई, बड़ी relief मिली।","Report normal aayi, badi relief mili.","Report सामान्य आई, बड़ी राहत मिली।","Report saamanya aayi, badi raahat mili.",जाँच के परिणाम सामान्य आने से सभी को गहरी राहत मिली।,Jaanch ke parinaam saamanya aane se sabhi ko gehri raahat mili.,चैन | तसल्ली | सुकून,chain | tasalli | sukoon,"Raahat describes the easing of worry in a warm, everyday way.",Raahat milne ki kisi sthiti ka varnan kijiye.,emotion | health | positive,easy
97,रेगुलर,regular,नियमित,niyamit,regular or consistent,मैं अब gym regular जाने की कोशिश कर रहा हूँ।,Main ab gym regular jaane ki koshish kar raha hoon.,मैं अब gym नियमित जाने का प्रयास कर रहा हूँ।,Main ab gym niyamit jaane ka prayas kar raha hoon.,मैं स्वास्थ्य सुधार के लिए अब नियमित रूप से व्यायाम करने का संकल्प ले रहा हूँ।,Main swasthya sudhaar ke liye ab niyamit roop se vyaayaam karne ka sankalp le raha hoon.,निरंतर | नित्य | लगातार,nirantar | nitya | lagataar,"Niyamit is useful for habits, routines, and dependable frequency.",Apni kisi niyamit aadat par ek vaakya kahiye.,habits | health | self improvement,easy
98,अर्जेंट,urgent,तत्काल,tatkaal,immediate or urgent,"यह काम urgent है, पहले इसी को देख लो।","Yeh kaam urgent hai, pehle isi ko dekh lo.","यह कार्य तत्काल है, पहले इसी को देख लीजिए।","Yeh karya tatkaal hai, pehle isi ko dekh lijiye.",यह कार्य तत्काल ध्यान माँगता है; कृपया अन्य कार्यों से पहले इसे पूरा करें।,Yeh karya tatkaal dhyaan maangta hai; kripya anya kaaryon se pehle ise poora karein.,तुरंत | अविलंब | शीघ्र,turant | avilamb | sheeghra,Tatkaal clearly signals urgency and immediate priority.,Tatkaal karya ki prathamikta batate hue ek vaakya kahiye.,urgency | priority | work,easy
99,प्रेज़ेंट,present,उपस्थित,upasthit,present or in attendance,कल meeting में सब present रहना।,Kal meeting mein sab present rehna.,कल बैठक में सब उपस्थित रहिएगा।,Kal baithak mein sab upasthit rahiyega.,कल की महत्वपूर्ण बैठक में सभी सदस्यों का समय पर उपस्थित रहना आवश्यक है।,Kal ki mahatvapurn baithak mein sabhi sadasyon ka samay par upasthit rehna avashyak hai.,हाज़िर | विद्यमान | मौजूद,haazir | vidyamaan | maujood,"Upasthit is a familiar, polished word for being present.",Upasthit rehne ka vinamra nirdesh dijiye.,attendance | meetings | professional,easy
100,एब्सेंट,absent,अनुपस्थित,anupasthit,absent or not present,मैं कल office में absent रहूँगा।,Main kal office mein absent rahunga.,मैं कल कार्यालय में अनुपस्थित रहूँगा।,Main kal karyalaya mein anupasthit rahunga.,व्यक्तिगत कारणों से मैं कल कार्यालय में अनुपस्थित रहूँगा; आवश्यक काम आज पूरा कर दूँगा।,Vyaktigat kaaranon se main kal karyalaya mein anupasthit rahunga; avashyak kaam aaj poora kar doonga.,ग़ैरहाज़िर | अनुपलब्ध | दूर,gairhaazir | anupalabdh | door,"Anupasthit is a clear, professional way to communicate absence.",Anupasthit rehne ki soochna dete hue ek vaakya banaiye.,attendance | updates | workplace,easy
